,User,Score Count,Post Published,Post Text
0,Szymon,5/5,"Wystawiono 2 lata temu, po 4 dniach użytkowania","Design rewelacja, kolor czarny ma swój urok ale i wady - mikro ryski nie uniknione na tego typu powierzchni. Całość jednak prezentuje się fantastycznie. Solidne wykonanie, plastiki równo się schodzą, nie czuć plastikiem. Nic nie trzeszczy. Polecam"
1,Marcin,"3,5/5","Wystawiono 2 lata temu, po 2 tygodniach użytkowania",Na rysunku wyglądał dużo lepiej. Duży minus za to że wieczko jest zwykłą klapką którą można zgubić. Powinna być jakoś przytwierdzona.
2,niezadowolonyKlientCostam,4/5,"Wystawiono 3 lata temu, po 3 tygodniach użytkowania","Produkt dość głośny. Ale bardzo ładny i ładnie wykonany. Niestety, woda lekko pachnie tworzywem(plastikiem). Mam nadzieje, że się to ""wygotuje"" wkrótce."
3,k...6,5/5,"Wystawiono 5 miesięcy temu, po miesiącu użytkowania","Czajnik nie dosyć, że piękny (wiadomo to kwestia gustu) to bardzo szybko podgrzewa wodę. Po kilku tygodniach użytkowania działa bez żadnego problemu. Polecam!"
4,m...9,5/5,"Wystawiono 6 miesięcy temu, po miesiącu użytkowania","Super czajnik, bardzo ładnie się prezentuje, łatwy w utrzymaniu czystości. Bardzo praktyczna jest całkowicie zdejmowana pokrywa. Bardzo polecam."
5,Krystian,5/5,"Wystawiono 2 lata temu, po 5 dniach użytkowania","Świetny czajnik. Pięknie się prezentuje i szybko grzeje. Wskaźnik pojemności troszkę słabo czytelny, a poza tym rewelacja."
6,Holmes,5/5,"Wystawiono 2 lata temu, po 2 miesiącach użytkowania","Jestem zadowolona z produktu. Działa bez zarzutu, ładnie wygląda. Domownicy nie skarżą się."
7,u...1,5/5,"Wystawiono 5 miesięcy temu, po 2 tygodniach użytkowania","Bardzo estetyczny , to już kolejny czajnik Tefala, który uzytkuję . Do tej pory zawsze byłam zadowolona"
8,Użytkownik Ceneo,5/5,"Wystawiono 2 lata temu, po 3 tygodniach użytkowania","Spodziewalam sie gorszej jakosci za ta cene, jestem mile zaskoczona. Czajnik bardzo ladny i solidnie wykonany. Polecam."
9,marci nn,"0,5/5","Wystawiono 3 lata temu, po 3 tygodniach użytkowania","czajnik bardzo ładnie wygląda
jednak jest zrobiony z materiałów bardzo niskiej jakości
podczas pierwszego próbnego gotowania pękła srebrny element przy dnie czajnika
a do tego firma Tefal nie uznaje gwarancji na sprzęt kupowany na fakturę vat
także nie mogę polecić zakupów urządzeń firmy Tefal przez firmy vatowskie"
10,m...6,5/5,"Wystawiono rok temu, po 2 miesiącach użytkowania",Gorąco polecam piękny wygląd szybkie gotowanie ja go uwielbiam.
11,Użytkownik Ceneo,4/5,"Wystawiono 2 lata temu, po 2 tygodniach użytkowania","Czajnik elektryczny, jaki jest każdy widzi. Bez bajerów, ale estetyczny."
12,twierdzaa,5/5,"Wystawiono 3 lata temu, po 2 tygodniach użytkowania","Czajnik bardzo ładnie wykonany, szybka dostawa."
13,sebastian,5/5,"Wystawiono 2 tygodnie temu, po 4 dniach użytkowania","Super jakość ,super wygląd, bardzo praktyczny i niezbyt ciężki. Polecam"
14,m...n,5/5,"Wystawiono 7 miesięcy temu, po 3 tygodniach użytkowania",Wygląd ok. Miał być cichy pracuje jak normalny czajnik wcale nie jest super cichy
15,n...3,5/5,"Wystawiono 9 miesięcy temu, po 2 tygodniach użytkowania","Solidnie wykonany, wizualnie bardzo ładnie się prezentuje. polecam."
16,m...3,5/5,"Wystawiono 5 miesięcy temu, po miesiącu użytkowania",Jest świetny . Pięknie się prezentuje i spełnia swoją funkcję.
17,Użytkownik Ceneo,5/5,"Wystawiono 2 lata temu, po 2 tygodniach użytkowania","Czajnik dobrze wykonany , elegancki , bardzo szybko gotuje wodę .Polecam!"
18,a...0,5/5,"Wystawiono 5 miesięcy temu, po 2 miesiącach użytkowania",Czajnik jest bardo ładnie wykonany i super wygląda
